station_id,station_name,clean_name,lat,lon,city,state,address,latitude,longitude
site_5082,"Indirapuram, Ghaziabad - UPPCB",indirapuram,28.646233,77.358075,Ghaziabad,Uttar Pradesh,,,
site_5083,"Loni, Ghaziabad - UPPCB",loni,28.757294,77.278792,Ghaziabad,Uttar Pradesh,,,
site_5081,"Sanjay Nagar, Ghaziabad - UPPCB",sanjay nagar,28.685382,77.453839,Ghaziabad,Uttar Pradesh,,,
site_144,"Vasundhara, Ghaziabad - UPPCB",vasundhara,28.6603346,77.3572563,Ghaziabad,Uttar Pradesh,,,
site_1541,"Knowledge Park - III, Greater Noida - UPPCB",knowledge park - iii,28.47272,77.482,Greater Noida,Uttar Pradesh,,,
site_5121,"Knowledge Park - V, Greater Noida - UPPCB",knowledge park - v,28.557054,77.453663,Greater Noida,Uttar Pradesh,,,
site_153,"Sector - 125, Noida - UPPCB",sector - 125,28.5447608,77.3231257,Noida,Uttar Pradesh,,,
site_111,"Sector - 62, Noida - IMD",sector - 62,28.6245479,77.3577104,Noida,Uttar Pradesh,,,
site_5123,"Sector-1, Noida - UPPCB",sector-1,28.5898,77.3101,Noida,Uttar Pradesh,,,
site_5122,"Sector-116, Noida - UPPCB",sector-116,28.56923,77.393848,Noida,Uttar Pradesh,,,
site_5340,"New Industrial Town, Faridabad - HSPCB",new industrial town,28.39072,77.30059,Faridabad,Haryana,,,
site_5342,"Sector 11, Faridabad - HSPCB",sector 11,28.376058,77.315741,Faridabad,Haryana,,,
site_5341,"Sector 30, Faridabad - HSPCB",sector 30,28.4417,77.3217,Faridabad,Haryana,,,
site_263,"Sector- 16A, Faridabad - HSPCB",sector- 16a,28.4088421,77.3099081,Faridabad,Haryana,,,
site_5025,"NISE Gwal Pahari, Gurugram - IMD",nise gwal pahari,28.422681,77.148944,Gurugram,Haryana,,,
site_5345,"Sector-51, Gurugram - HSPCB",sector-51,28.4227,77.0667,Gurugram,Haryana,,,
site_5344,"Teri Gram, Gurugram - HSPCB",teri gram,28.4275,77.1465,Gurugram,Haryana,,,
site_146,"Vikas Sadan, Gurugram - HSPCB",vikas sadan,28.4501238,77.0263051,Gurugram,Haryana,,,
site_5024,"Alipur, Delhi - DPCC",alipur,28.815329,77.15301,Delhi,Delhi,,,
site_301,"Anand Vihar, Delhi - DPCC",anand vihar,28.647622,77.315809,Delhi,Delhi,,,
site_1420,"Ashok Vihar, Delhi - DPCC",ashok vihar,28.695381,77.181665,Delhi,Delhi,,,
site_108,"Aya Nagar, Delhi - IMD",aya nagar,28.4706914,77.1099364,Delhi,Delhi,,,
site_1560,"Bawana, Delhi - DPCC",bawana,28.7762,77.051074,Delhi,Delhi,,,
site_104,"Burari Crossing, Delhi - IMD",burari crossing,28.7256504,77.2011573,Delhi,Delhi,,,
site_103,"CRRI Mathura Road, Delhi - IMD",crri mathura road,28.5512005,77.2735737,Delhi,Delhi,,,
site_5393,"Chandni Chowk, Delhi - IITM",chandni chowk,28.656756,77.227234,Delhi,Delhi,,,
site_118,"DTU, Delhi - CPCB",dtu,28.7500499,77.1112615,Delhi,Delhi,,,
site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC",dr. karni singh shooting range,28.498571,77.26484,Delhi,Delhi,,,
site_1422,"Dwarka-Sector 8, Delhi - DPCC ",dwarka-sector 8,28.5710274,77.0719006,Delhi,Delhi,,,
site_106,"IGI Airport (T3), Delhi - IMD",igi airport (t3),28.5627763,77.1180053,Delhi,Delhi,,,
site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",ihbas,28.6811736,77.3025234,Delhi,Delhi,,,
site_117,"ITO, Delhi - CPCB",ito,28.628624,77.24106,Delhi,Delhi,,,
site_1423,"Jahangirpuri, Delhi - DPCC",jahangirpuri,28.73282,77.170633,Delhi,Delhi,,,
site_1424,"Jawaharlal Nehru Stadium, Delhi - DPCC",jawaharlal nehru stadium,28.58028,77.233829,Delhi,Delhi,,,
site_5395,"Lodhi Road, Delhi - IITM",lodhi road,28.588333,77.221667,Delhi,Delhi,,,
site_109,"Lodhi Road, Delhi - IMD",lodhi road,28.5918245,77.2273074,Delhi,Delhi,,,
site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",major dhyan chand national stadium,28.611281,77.237738,Delhi,Delhi,,,
site_122,"Mandir Marg, Delhi - DPCC",mandir marg,28.636429,77.201067,Delhi,Delhi,,,
