lat,lon,frp,confidence,timestamp
28.878,76.7734,55.5,90.0,2026-11-01T13:00:00
28.8748,76.7456,54.6,96.5,2026-11-01T12:00:00
29.1124,76.8952,116.6,71.5,2026-11-01T17:00:00
28.9075,76.7575,94.8,79.8,2026-11-01T17:00:00
28.8007,76.6596,76.3,86.2,2026-11-01T12:00:00
29.0895,76.874,81.8,74.7,2026-11-01T15:00:00
28.9726,76.7567,130.3,99.0,2026-11-01T14:00:00
28.8939,76.7927,83.8,77.2,2026-11-01T14:00:00
29.1611,76.9468,70.1,80.6,2026-11-01T14:00:00
29.012,76.5051,21.8,63.1,2026-11-01T16:00:00
29.1894,76.9803,112.8,92.7,2026-11-01T16:00:00
29.0972,76.9681,49.6,99.6,2026-11-01T15:00:00
29.0974,76.9089,65.4,86.2,2026-11-01T14:00:00
29.0251,76.6087,131.5,66.8,2026-11-01T13:00:00
28.9581,76.5603,145.1,74.8,2026-11-01T16:00:00
29.1601,76.6667,11.3,66.9,2026-11-01T16:00:00
28.8306,76.8083,53.7,73.9,2026-11-01T12:00:00
29.0446,76.8853,77.8,69.4,2026-11-01T12:00:00
28.8127,76.531,110.2,81.1,2026-11-01T15:00:00
29.0159,76.8679,58.4,94.3,2026-11-01T15:00:00
28.8231,76.8818,115.9,82.5,2026-11-01T12:00:00
28.9264,76.7023,137.2,91.1,2026-11-01T16:00:00
28.8159,76.5229,32.2,98.0,2026-11-01T16:00:00
29.1224,76.83,33.7,67.3,2026-11-01T12:00:00
28.8175,76.8455,150.0,98.7,2026-11-01T16:00:00
28.8218,76.9273,35.5,87.0,2026-11-01T15:00:00
28.8828,76.5301,24.9,80.5,2026-11-01T15:00:00
28.9818,76.7531,66.4,85.2,2026-11-01T12:00:00
29.1795,76.7601,62.1,75.6,2026-11-01T14:00:00
29.1354,76.5346,41.5,73.0,2026-11-01T13:00:00
29.0923,76.7311,35.8,84.5,2026-11-01T14:00:00
28.8334,76.9544,19.6,74.3,2026-11-01T13:00:00
29.0846,76.6519,71.5,82.8,2026-11-01T13:00:00
29.1317,76.8153,76.6,91.9,2026-11-01T13:00:00
28.9982,76.8837,99.9,96.7,2026-11-01T15:00:00
28.8823,76.8335,149.3,69.1,2026-11-01T14:00:00
28.9973,76.7664,54.8,72.5,2026-11-01T12:00:00
29.1244,76.8034,120.0,89.5,2026-11-01T17:00:00
29.0097,76.8343,42.5,82.5,2026-11-01T14:00:00
29.1372,76.9559,82.3,69.6,2026-11-01T13:00:00
29.0419,76.5887,49.8,99.2,2026-11-01T17:00:00
29.0714,76.8185,37.5,69.3,2026-11-01T15:00:00
29.0523,76.6349,129.6,76.0,2026-11-01T16:00:00
28.8958,76.9356,57.7,73.6,2026-11-01T17:00:00
29.1164,76.9169,80.8,99.8,2026-11-01T17:00:00
28.8342,76.9479,97.6,72.8,2026-11-01T14:00:00
29.0519,76.5588,142.9,94.5,2026-11-01T13:00:00
28.895,76.5864,62.8,97.3,2026-11-01T14:00:00
29.0159,76.589,145.9,85.8,2026-11-01T14:00:00
28.994,76.6239,91.0,79.3,2026-11-01T15:00:00
